species;decimalLatitude;decimalLongitude
lusitanica;43.418611;5.007778
lusitanica;45.580833;15.678611
lusitanica;43.418611;5.007778
lusitanica; 40.676667;8.555556
lusitanica;43.686667;7.103333
lusitanica; 35.189722; 25.716389
lusitanica; 35.220556; 25.667778
lusitanica; 43.111667; 12.186667
lusitanica; 45.068889;  7.689444
lusitanica; 44.942500;  9.142222
lusitanica; 45.059167;  9.088333
lusitanica; 44.892778;  9.185556
lusitanica; 42.763889; 10.875000
lusitanica; 44.932222;  9.676944
lusitanica; 45.129722;  9.079167
lusitanica; 40.527222; 19.782778
lusitanica; 41.770556; 20.387778
lusitanica; 44.776111; 20.476944
lusitanica; 46.160833;  6.586944
lusitanica; 38.597500; -9.195833
lusitanica; 41.099167; -8.544444
lusitanica; 38.480000; -8.978333
lusitanica; 38.796111; -9.395833
lusitanica; 38.663056; -9.165000
lusitanica; 38.875278; -9.312778
lusitanica; 40.150833; -8.653611
lusitanica; 38.707500; -9.182222
lusitanica; 39.910000; -8.438889
lusitanica; 40.348611; -8.350278
lusitanica; 41.511944; -8.772778
lusitanica; 41.627778; -8.800556
lusitanica; 39.918333; -7.913611
lusitanica; 40.730000; -8.535556
lusitanica; 41.212222; -8.633889
lusitanica; 40.464444; -8.698056
lusitanica; 39.090833; -9.259722
lusitanica; 41.186389; -8.499167
lusitanica; 40.982778; -8.493611
lusitanica; 40.553333; -8.451389
lusitanica;42.722281;9.454388
lusitanica;43.788984;7.339439
